Time,pt0
0.0,0.0
0.05,-4.888637420188394e-22
0.1,-4.888637420188394e-22
0.2,0.0005705893263210166
5.0,8.906667208717704e-05
10.0,7.425399864576303e-05
15.0,6.887506722449601e-05
20.0,6.657150703804276e-05
22.5,6.586281318087366e-05
22.75,0.0008889541862397439
23.0,0.0021882324843330745
23.25,0.00457939541616187
23.5,0.008459458668776529
25.0,0.007495463316376704
40.0,0.009925271014451486
50.0,0.009871446663006638
60.0,0.00979161483988849
75.0,0.009667845356246466
90.0,0.00955842138962521
99.5,0.009497189127644919
99.75,0.030867080262589313
100.0,0.06148436518360416
100.25,0.11046049942852126
100.5,0.18651107705725511
110.0,0.16590228120466757
120.0,0.1606033287144666
140.0,0.15485776040715196
150.0,0.15277739152988015
156.5,0.15159878196437027
156.75,0.18415622808638976
157.0,0.21548868027667092
157.25,0.2485585760856445
157.5,0.2840150414719197
160.0,0.2655642738959255
170.0,0.25507777959218697
180.0,0.24999308033028064
190.0,0.2455699858450543
200.0,0.24157972787025722
210.0,0.23821161140594505
212.5,0.2375052963869961
213.0,0.3164055537948081
213.5,0.3996467111614545
215.0,0.3813377393214692
220.0,0.36919211428065773
230.0,0.36046284579890686
240.0,0.356035740902691
250.0,0.3538484822306433
260.0,0.3527101015390221
266.5,0.3523253137111464
266.75,0.414743832210711
267.0,0.47534550597984554
267.25,0.5382738719636294
267.5,0.604602310059308
280.0,0.5511750664410017
300.0,0.5425882803502976
310.0,0.5416001450284256
315.0,0.5413485408030487
316.5,0.5412928202602316
316.75,0.6272231595335849
317.0,0.7107544304472554
317.25,0.7971924016259855
317.5,0.887924174563036
320.0,0.8423352563546376
330.0,0.8160656438830411
350.0,0.8082230372689542
360.0,0.80761455899416
375.0,0.8073884543431731
380.0,0.8073676388548742
390.0,0.8073496536350102
400.0,0.8073441052319642
410.0,0.8073423936978746
415.0,0.8073420542647404
419.0,0.8073418887284753
419.5,0.807341869570094
419.75,0.9973828502021166
420.0,1.192625695897551
420.5,1.6783441405564388
425.0,1.5712613634076424
425.25,1.5696397737881764
430.0,1.5485550641671948
440.0,1.5381283057655861
450.0,1.5367969003309947
452.0,1.5367193866017106
452.5,1.5367060952183218
452.75,0.6320582810008176
453.0,0.10138697798449191
453.25,-0.21624172162290495
453.5,-0.3906176954847647
453.75,-0.2810214200083404
454.0,-0.2307096471341272
455.0,-0.13179716118226972
460.0,0.009055261336326443
470.0,0.07319273264298903
480.0,0.09249214830689804
500.0,0.10515471750647064
550.0,0.11144114834362215
600.0,0.11230812234730579
650.0,0.11245331343723225
713.0,0.11248036557540683
750.0,0.1124828106892966
800.0,0.1124835759109569
